candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,score,raw_score,passes_constraints,constraint_reason,run_dir
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",2,20260613-220951_candidate_compaction_c1_learning_trial2_pcitc_1f22a245,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5945,7069,5945,75768,131,1,134,13.55,39.020999999999994,39.020999999999994,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220951_candidate_compaction_c1_learning_trial2_pcitc_1f22a245
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",3,20260613-221000_candidate_compaction_c1_learning_trial3_pcitc_cd695572,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5944,7069,5944,75768,131,1,134,13.267,39.05929999999999,39.05929999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221000_candidate_compaction_c1_learning_trial3_pcitc_cd695572
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",1,20260613-221008_candidate_compaction_c1_learning_trial1_destc_14363210,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,357,477,357,295215,0,0,1,20.95,94.33500000000001,94.33500000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221008_candidate_compaction_c1_learning_trial1_destc_14363210
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",2,20260613-221020_candidate_compaction_c1_learning_trial2_destc_022cea6d,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,347,477,347,295215,0,0,1,25.85,93.94500000000001,93.94500000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221020_candidate_compaction_c1_learning_trial2_destc_022cea6d
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",3,20260613-221036_candidate_compaction_c1_learning_trial3_destc_8ad859f6,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,359,477,359,295215,0,0,1,19.017,94.50829999999999,94.50829999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221036_candidate_compaction_c1_learning_trial3_destc_8ad859f6
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",1,20260613-221047_candidate_compaction_c1_learning_trial1_DMAtc_77fc6b41,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10722,12557,10722,77788,2070,2160,24461,37.083,-16.366300000000003,-16.366300000000003,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221047_candidate_compaction_c1_learning_trial1_DMAtc_77fc6b41
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",2,20260613-221110_candidate_compaction_c1_learning_trial2_DMAtc_57dd9320,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10726,12557,10726,77788,2070,2160,24461,35.533,-16.251300000000008,-16.251300000000008,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221110_candidate_compaction_c1_learning_trial2_DMAtc_57dd9320
compaction_c1_learning,llm,"static_learning was stable, while compaction strategy affects runtime and pattern count; reduce shuffle compaction effort to test whether runtime improves without a large pattern penalty.",3,20260613-221131_candidate_compaction_c1_learning_trial3_DMAtc_09c58d59,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10723,12557,10723,77788,2070,2160,24461,36.433,-16.311300000000006,-16.311300000000006,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221131_candidate_compaction_c1_learning_trial3_DMAtc_09c58d59
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,1,20260613-221153_candidate_phase2_b20_learning_seed1_trial1_pcitc_1232c8e5,pcitc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,155,13.867,39.009299999999996,39.009299999999996,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221153_candidate_phase2_b20_learning_seed1_trial1_pcitc_1232c8e5
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,2,20260613-221201_candidate_phase2_b20_learning_seed1_trial2_pcitc_2c694350,pcitc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,155,13.933,39.00269999999999,39.00269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221201_candidate_phase2_b20_learning_seed1_trial2_pcitc_2c694350
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,3,20260613-221210_candidate_phase2_b20_learning_seed1_trial3_pcitc_b5160818,pcitc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,155,14.083,38.9877,38.9877,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221210_candidate_phase2_b20_learning_seed1_trial3_pcitc_b5160818
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,1,20260613-221218_candidate_phase2_b20_learning_seed1_trial1_destc_4db767f0,destc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,100.0,348,477,348,295215,0,0,1,25.5,93.97,93.97,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221218_candidate_phase2_b20_learning_seed1_trial1_destc_4db767f0
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,2,20260613-221234_candidate_phase2_b20_learning_seed1_trial2_destc_13ff6f87,destc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,100.0,348,477,348,295215,0,0,1,25.367,93.9833,93.9833,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221234_candidate_phase2_b20_learning_seed1_trial2_destc_13ff6f87
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,3,20260613-221249_candidate_phase2_b20_learning_seed1_trial3_destc_8b8ad33f,destc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,100.0,348,477,348,295215,0,0,1,25.35,93.985,93.985,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221249_candidate_phase2_b20_learning_seed1_trial3_destc_8b8ad33f
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,1,20260613-221304_candidate_phase2_b20_learning_seed1_trial1_DMAtc_1ffc6f59,DMAtc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,94.562,10723,12557,10723,77788,2979,1251,65363,51.067,-17.774700000000006,-17.774700000000006,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221304_candidate_phase2_b20_learning_seed1_trial1_DMAtc_1ffc6f59
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,2,20260613-221335_candidate_phase2_b20_learning_seed1_trial2_DMAtc_13382987,DMAtc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,94.562,10723,12557,10723,77788,2979,1251,65363,51.4,-17.808000000000007,-17.808000000000007,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221335_candidate_phase2_b20_learning_seed1_trial2_DMAtc_13382987
phase2_b20_learning_seed1,llm,phase2_b20 improved destc but was weaker on DMAtc; combine it with static learning and a fixed seed to test whether deeper retry search becomes more stable.,3,20260613-221406_candidate_phase2_b20_learning_seed1_trial3_DMAtc_af0bd943,DMAtc.bench,"[""-B"", ""20"", ""-L"", ""-s"", ""1""]",0,True,False,,94.562,10723,12557,10723,77788,2979,1251,65363,50.267,-17.694700000000008,-17.694700000000008,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221406_candidate_phase2_b20_learning_seed1_trial3_DMAtc_af0bd943
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,1,20260613-221436_candidate_phase1_b20_learning_trial1_pcitc_ae316b09,pcitc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,184,13.95,39.00099999999999,39.00099999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221436_candidate_phase1_b20_learning_trial1_pcitc_ae316b09
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,2,20260613-221445_candidate_phase1_b20_learning_trial2_pcitc_aa44bb75,pcitc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,99.826,5945,7069,5945,75768,131,1,184,13.95,38.98099999999999,38.98099999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221445_candidate_phase1_b20_learning_trial2_pcitc_aa44bb75
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,3,20260613-221453_candidate_phase1_b20_learning_trial3_pcitc_62a9dfc0,pcitc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,99.826,5944,7069,5944,75768,131,1,184,13.667,39.019299999999994,39.019299999999994,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221453_candidate_phase1_b20_learning_trial3_pcitc_62a9dfc0
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,1,20260613-221502_candidate_phase1_b20_learning_trial1_destc_7595a54b,destc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,100.0,353,477,353,295215,0,0,1,23.233,94.1467,94.1467,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221502_candidate_phase1_b20_learning_trial1_destc_7595a54b
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,2,20260613-221516_candidate_phase1_b20_learning_trial2_destc_a4eada02,destc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,100.0,343,477,343,295215,0,0,1,25.65,94.005,94.005,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221516_candidate_phase1_b20_learning_trial2_destc_a4eada02
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,3,20260613-221531_candidate_phase1_b20_learning_trial3_destc_01ca6a43,destc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,100.0,354,477,354,295215,0,0,1,23.6,94.1,94.1,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221531_candidate_phase1_b20_learning_trial3_destc_01ca6a43
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,1,20260613-221545_candidate_phase1_b20_learning_trial1_DMAtc_f056a3af,DMAtc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,94.562,10722,12557,10722,77788,2979,1251,41693,44.233,-17.081300000000002,-17.081300000000002,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221545_candidate_phase1_b20_learning_trial1_DMAtc_f056a3af
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,2,20260613-221612_candidate_phase1_b20_learning_trial2_DMAtc_a0ea37e3,DMAtc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,94.562,10723,12557,10723,77788,2979,1251,41693,43.617,-17.029700000000005,-17.029700000000005,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221612_candidate_phase1_b20_learning_trial2_DMAtc_a0ea37e3
phase1_b20_learning,llm,increase phase-1 FAN backtracking with static learning to see whether hard faults can be handled earlier without invoking phase-2 overhead.,3,20260613-221638_candidate_phase1_b20_learning_trial3_DMAtc_a3a9173d,DMAtc.bench,"[""-b"", ""20"", ""-L""]",0,True,False,,94.562,10723,12557,10723,77788,2979,1251,41693,42.683,-16.936300000000006,-16.936300000000006,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221638_candidate_phase1_b20_learning_trial3_DMAtc_a3a9173d
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,1,20260613-221704_candidate_reverse_phase2_b10_trial1_pcitc_c653e39e,pcitc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,99.826,6022,7069,6022,75768,131,1,145,11.433,38.4627,38.4627,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221704_candidate_reverse_phase2_b10_trial1_pcitc_c653e39e
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,2,20260613-221711_candidate_reverse_phase2_b10_trial2_pcitc_9034e567,pcitc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,99.826,6022,7069,6022,75768,131,1,145,11.8,38.425999999999995,38.425999999999995,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221711_candidate_reverse_phase2_b10_trial2_pcitc_9034e567
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,3,20260613-221718_candidate_reverse_phase2_b10_trial3_pcitc_7be9dce5,pcitc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,99.826,6022,7069,6022,75768,131,1,145,11.683,38.43769999999999,38.43769999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221718_candidate_reverse_phase2_b10_trial3_pcitc_7be9dce5
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,1,20260613-221725_candidate_reverse_phase2_b10_trial1_destc_b394d6c7,destc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,100.0,420,477,420,295215,0,0,1,12.2,94.58,94.58,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221725_candidate_reverse_phase2_b10_trial1_destc_b394d6c7
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,2,20260613-221733_candidate_reverse_phase2_b10_trial2_destc_03f12921,destc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,100.0,420,477,420,295215,0,0,1,11.55,94.645,94.645,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221733_candidate_reverse_phase2_b10_trial2_destc_03f12921
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,3,20260613-221740_candidate_reverse_phase2_b10_trial3_destc_2a9fc6e1,destc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,100.0,420,477,420,295215,0,0,1,12.5,94.55,94.55,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221740_candidate_reverse_phase2_b10_trial3_destc_2a9fc6e1
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,1,20260613-221747_candidate_reverse_phase2_b10_trial1_DMAtc_dc31fd17,DMAtc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,94.562,10957,12557,10957,77788,2071,2159,48209,39.95,-19.00300000000001,-19.00300000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221747_candidate_reverse_phase2_b10_trial1_DMAtc_dc31fd17
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,2,20260613-221812_candidate_reverse_phase2_b10_trial2_DMAtc_54f06922,DMAtc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,94.562,10957,12557,10957,77788,2071,2159,48209,40.267,-19.03470000000001,-19.03470000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221812_candidate_reverse_phase2_b10_trial2_DMAtc_54f06922
reverse_phase2_b10,llm,reverse-only compaction reduces runtime but increases patterns; combine it with moderate phase-2 search to test the runtime-pattern tradeoff under preserved coverage.,3,20260613-221836_candidate_reverse_phase2_b10_trial3_DMAtc_1cce3732,DMAtc.bench,"[""-c"", ""0"", ""-B"", ""10""]",0,True,False,,94.562,10957,12557,10957,77788,2071,2159,48209,39.95,-19.00300000000001,-19.00300000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221836_candidate_reverse_phase2_b10_trial3_DMAtc_1cce3732
